Fecha,Usuario,Flujo de Tarea,ID Sugerencia | ID Ticket,ID CDM,GROUP_ID,Status,Iniciativa,Incidencias,IDs trabajados,Comentarios
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-10241,17612044,,HOLD,Sugerencias de Corrección,Merge,2,36581237 a 14214629
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-10344,17651155,,HOLD,Sugerencias de Corrección,Activar,1,Group ID: 57434688 / Creacion de familia
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-10620,17743202,,HOLD,Sugerencias de Corrección,Esperando respuesta,1,WFI
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-10625,17743207,,HOLD,Sugerencias de Corrección,Impacto BC/CMS,1,Group ID: 87685395
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-10634,17743213,,HOLD,Sugerencias de Corrección,Esperando respuesta,1,WFI
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-10640,17743216,,HOLD,Inf. Oportunidad de Mejora,Impacto BC/CMS,1,"ID del grupo: 87747729

ID del padre: MLB37734271"
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-10650,17768127,,HOLD,Inf. Oportunidad de Mejora,Esperando respuesta,7,WFI
29/05/2026,ext_siosanch,Soporte,https://mercadolibre.atlassian.net/servicedesk/customer/portal/5525/SOPM-9841,,,HOLD,Inf. Oportunidad de Mejora,Impacto BC/CMS,1,"ID del grupo: 86649687

ID del padre: MLB33240489"
29/05/2026,ext_soliscam,Demanda,https://catalog-domains.adminml.com/ruler/product-suggestions/MLBS412344542,17772844,MLBS412344542,HOLD,,Esperando respuesta,,modificacion masiva
29/05/2026,ext_soliscam,Demanda,https://catalog-domains.adminml.com/ruler/product-suggestions/MLAS412197952,17775633,MLAS412197952,HOLD,,Unificación/Separación,,
29/05/2026,ext_tibareir,Enhancement,,17520487,,HOLD,,,,
